item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.1825,19.20,239.22,5.0
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0489,18.10,127.33,5.0
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0137,17.50,256.33,5.0
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0113,10.50,235.52,5.0
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0147,7.98,82.43,5.0
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0259,10.00,264.62,5.0
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0242,10.10,114.92,5.0
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0285,8.93,152.23,5.0
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0863,7.30,147.21,5.0
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0056,7.93,122.14,5.0
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0138,15.35,62.72,5.0
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0166,19.35,120.91,5.0
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0313,9.50,111.12,5.0
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0415,10.50,39.22,5.0
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,15.60,111.95,5.0
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0036,5.88,153.90,5.0
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0869,8.88,153.37,5.0
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0352,10.60,84.72,5.0
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0284,6.13,110.09,5.0
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0152,6.38,144.95,5.0
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0481,9.20,107.76,5.0
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0478,11.30,180.77,5.0
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0075,12.60,186.96,5.0
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1137,17.25,253.47,5.0
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0674,19.10,41.98,5.0
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0269,9.80,126.30,5.0
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0100,7.91,249.64,5.0
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0290,10.80,239.22,5.0
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0206,12.10,147.57,5.0
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0759,15.50,261.76,5.0
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0794,20.70,99.80,5.0
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0303,8.00,247.41,5.0
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0307,19.50,85.55,5.0
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0298,14.00,145.48,5.0
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,20.25,194.28,5.0
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0668,11.30,257.30,5.0
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0773,11.60,172.41,5.0
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0994,16.00,87.09,5.0
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0125,10.20,197.11,5.0
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0266,13.65,37.95,5.0
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0274,9.60,259.23,5.0
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0114,10.70,73.50,5.0
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0582,12.30,59.16,5.0
low fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0099,11.40,50.30,5.0
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1861,12.35,78.23,5.0
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1143,20.70,94.94,5.0
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0830,20.60,119.48,5.0
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0104,6.43,115.88,5.0
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1514,7.00,107.73,5.0
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0738,16.50,208.86,5.0
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0284,8.93,154.53,5.0
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0242,12.60,36.19,5.0
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0269,17.50,264.49,5.0
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0376,13.10,175.51,5.0
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0343,16.10,252.34,5.0
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0449,15.00,140.28,5.0
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0189,17.60,234.66,5.0
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0906,16.35,198.21,5.0
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0157,17.60,182.70,5.0
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1080,19.25,32.46,5.0
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0213,20.35,76.13,5.0
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0106,6.17,65.98,5.0
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0325,16.35,165.78,5.0
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1165,17.70,182.63,5.0
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0522,17.85,122.81,5.0
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0769,18.60,161.02,5.0
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0396,19.60,166.15,5.0
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0308,13.85,143.32,5.0
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1076,15.85,58.79,5.0
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1004,9.40,89.69,5.0
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0453,9.80,36.99,5.0
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0207,21.10,130.50,5.0
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0198,8.10,88.62,5.0
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0233,11.35,182.56,5.0
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0471,9.20,53.17,5.0
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1256,11.50,100.84,5.0
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0416,19.60,49.94,5.0
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0781,9.20,106.36,5.0
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0216,7.42,184.66,5.0
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1463,17.35,150.41,5.0
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0060,5.34,99.54,5.0
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1237,6.39,37.19,5.0
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0000,17.25,171.58,5.0
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0000,12.15,39.15,5.0
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0737,15.35,91.91,5.0
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0757,12.00,124.64,5.0
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1135,14.10,56.20,5.0
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0214,8.06,232.03,5.0
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0899,14.10,140.25,5.0
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1243,19.20,89.75,5.0
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0582,13.80,247.48,5.0
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1156,9.07,96.01,5.0
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1278,14.30,83.62,5.0
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0437,5.98,146.14,5.0
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0415,10.50,36.82,5.0
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0377,13.10,175.81,5.0
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0724,14.70,48.60,5.0
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0156,17.50,184.83,5.0
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0969,19.10,233.90,5.0
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0458,19.85,125.60,5.0
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0244,9.80,116.45,5.0
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0420,10.80,190.02,5.0
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0589,11.80,79.16,5.0
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0249,5.88,148.44,5.0
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.1055,6.78,84.63,5.0
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0707,8.42,216.42,5.0
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0215,10.00,251.68,5.0
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.1776,19.10,173.94,5.0
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0143,19.75,104.23,5.0
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0332,12.85,172.44,5.0
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0410,16.00,142.65,5.0
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0000,5.00,189.85,5.0
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0519,5.73,188.19,5.0
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0676,7.81,246.05,5.0
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0811,14.35,79.20,5.0
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1252,6.47,266.89,5.0
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1373,15.85,94.41,5.0
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0053,19.85,264.59,5.0
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0328,7.50,239.69,5.0
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0220,12.30,191.22,5.0
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0395,18.60,243.68,5.0
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0523,7.72,79.20,5.0
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0467,8.19,49.97,5.0
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0207,16.35,50.83,5.0
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0411,9.50,223.51,5.0
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0169,12.10,178.37,5.0
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1365,16.60,173.34,5.0
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0305,5.18,33.59,5.0
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0484,5.40,163.05,5.0
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0000,11.40,149.27,5.0
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0523,18.75,108.13,5.0
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0060,6.36,163.05,5.0
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0597,14.60,179.70,5.0
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0593,20.25,246.45,5.0
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0271,20.70,73.94,5.0
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.0333,19.35,173.87,5.0
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.0101,21.25,183.16,5.0
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.0122,13.10,190.25,5.0
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.1119,17.75,108.89,5.0
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0923,15.20,227.24,5.0
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0127,18.20,139.82,5.0
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0482,18.60,188.99,5.0
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.0322,5.46,187.62,5.0
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.0309,8.42,227.64,5.0
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.0313,14.00,52.36,5.0
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.0120,17.20,165.72,5.0
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.0634,11.35,88.99,5.0
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.0298,14.00,146.38,5.0
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0516,20.00,128.07,5.0
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0546,20.10,152.24,5.0
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0144,7.35,241.35,5.0
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.0537,10.10,222.91,5.0
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.0613,5.15,122.14,5.0
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0000,6.61,186.49,5.0
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0111,10.30,84.85,5.0
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0110,10.50,167.18,5.0
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.1255,13.50,262.19,5.0
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0443,7.52,181.40,5.0
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.1010,9.40,86.89,5.0
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.1414,9.80,50.00,5.0
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0381,17.75,154.07,5.0
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.1180,20.20,195.81,5.0
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.1691,7.16,35.29,5.0
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.1544,7.84,50.84,5.0
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0474,9.20,50.87,5.0
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.1475,10.20,141.58,5.0
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0000,16.10,35.16,5.0
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0470,8.77,170.54,5.0
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1601,17.25,61.52,5.0
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0340,12.35,197.24,5.0
Regular,FDU15,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0000,13.65,36.65,5.0
Regular,FDU27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1724,18.60,47.14,5.0
Regular,FDN39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0659,19.35,167.08,5.0
Regular,FDV10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0671,7.65,44.01,5.0
Regular,FDO45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0382,13.15,89.49,5.0
Regular,FDB23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0056,19.20,226.61,5.0
low fat,NCY41,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0762,16.75,34.05,5.0
Regular,FDW31,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0434,11.35,197.07,5.0
Regular,FDR55,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1328,12.15,190.69,5.0
Regular,FDX10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1244,6.39,34.39,5.0
Low Fat,DRF49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0711,7.27,114.45,5.0
Low Fat,FDA23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0472,9.80,99.40,5.0
Low Fat,FDR60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1304,14.30,77.23,5.0
Low Fat,FDN60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0951,15.10,159.96,5.0
Low Fat,FDU48,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0553,18.85,131.53,5.0
Low Fat,FDG60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0607,20.35,234.26,5.0
Low Fat,FDU11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0926,4.79,121.01,5.0
Low Fat,FDT49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1514,7.00,108.23,5.0
Low Fat,FDS37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0319,7.66,114.15,5.0
Low Fat,FDK50,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0284,7.96,163.29,5.0
Low Fat,FDG26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0426,18.85,257.83,5.0
Low Fat,FDD14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1698,20.70,184.43,5.0
Low Fat,FDK41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.1275,14.30,86.02,5.0
